backend gmpy2  C_9: 60739 term orbits, 60739 with nonzero weight, free dim 8, jobs 40
  resuming from c9_orbit_values.json.ck1: 16850 term orbits already done
  16900/60739 term orbits, 309s
  16950/60739 term orbits, 550s
  17000/60739 term orbits, 786s
  17050/60739 term orbits, 1055s
  17100/60739 term orbits, 1259s
  17150/60739 term orbits, 1458s
  17200/60739 term orbits, 1703s
  17250/60739 term orbits, 1943s
  17300/60739 term orbits, 2130s
  17350/60739 term orbits, 2368s
  17400/60739 term orbits, 2572s
  17450/60739 term orbits, 2841s
  17500/60739 term orbits, 3061s
  17550/60739 term orbits, 3314s
  17600/60739 term orbits, 3531s
  17650/60739 term orbits, 3741s
  17700/60739 term orbits, 4095s
  17750/60739 term orbits, 4407s
  17800/60739 term orbits, 4670s
  17850/60739 term orbits, 4912s
  17900/60739 term orbits, 5216s
  17950/60739 term orbits, 5535s
  18000/60739 term orbits, 5836s
  18050/60739 term orbits, 6109s
  18100/60739 term orbits, 6350s
  18150/60739 term orbits, 6661s
  18200/60739 term orbits, 6948s
  18250/60739 term orbits, 7155s
  18300/60739 term orbits, 7347s
  18350/60739 term orbits, 7575s
  18400/60739 term orbits, 7833s
  18450/60739 term orbits, 8036s
  18500/60739 term orbits, 8305s
  18550/60739 term orbits, 8536s
  18600/60739 term orbits, 8794s
  18650/60739 term orbits, 9016s
  18700/60739 term orbits, 9175s
  18750/60739 term orbits, 9468s
  18800/60739 term orbits, 9698s
  18850/60739 term orbits, 9927s
  18900/60739 term orbits, 10163s
  18950/60739 term orbits, 10371s
  19000/60739 term orbits, 10698s
  19050/60739 term orbits, 10992s
  19100/60739 term orbits, 11273s
  19150/60739 term orbits, 11565s
  19200/60739 term orbits, 11836s
  19250/60739 term orbits, 12090s
  19300/60739 term orbits, 12412s
  19350/60739 term orbits, 12676s
  19400/60739 term orbits, 12981s
  19450/60739 term orbits, 13247s
  19500/60739 term orbits, 13474s
  19550/60739 term orbits, 13746s
  19600/60739 term orbits, 14002s
  19650/60739 term orbits, 14208s
  19700/60739 term orbits, 14454s
  19750/60739 term orbits, 14815s
  19800/60739 term orbits, 15110s
  19850/60739 term orbits, 15417s
  19900/60739 term orbits, 15736s
  19950/60739 term orbits, 16075s
  20000/60739 term orbits, 16405s
  20050/60739 term orbits, 16758s
  20100/60739 term orbits, 17088s
  20150/60739 term orbits, 17386s
  20200/60739 term orbits, 17800s
  shard 1/3 complete: 20246 term orbits in c9_orbit_values.json.ck1
