backend cupy(dev1)  b=7: 4705 matrices  enum 2.2s
  50/4705  2s
  450/4704  145s
  500/4704  161s
  550/4704  177s
  600/4704  193s
  650/4704  233s
  700/4704  309s
  750/4704  386s
  800/4704  462s
  850/4704  593s
  900/4704  697s
  950/4704  806s
  1000/4704  883s
  1050/4704  1073s
  1100/4704  1355s
  1150/4704  1459s
  1200/4704  1700s
  1250/4704  1810s
  1300/4704  1886s
  1350/4704  1962s
  1400/4704  2267s
  1450/4704  2783s
  1500/4704  3344s
  1550/4704  3450s
  1600/4704  3651s
  1650/4704  3752s
  1700/4704  4065s
  1750/4704  4546s
  1800/4704  4647s
  1850/4704  4883s
  1900/4704  4989s
  1950/4704  5063s
  2000/4704  5137s
  2050/4704  5377s
  2100/4704  5889s
  2150/4704  6630s
  2200/4704  7299s
  2250/4704  7884s
backend cupy(dev0)  b=7: 4704 matrices  enum 2.0s
  50/4704  3s
  100/4704  6s
  150/4704  9s
  200/4704  12s
  250/4704  15s
  300/4704  18s
  350/4704  21s
  400/4704  24s
  450/4704  27s
  500/4704  30s
  550/4704  33s
  600/4704  37s
  650/4704  42s
  700/4704  49s
  750/4704  56s
  800/4704  63s
  850/4704  75s
  900/4704  84s
  950/4704  94s
  1000/4704  102s
  1050/4704  119s
  1100/4704  143s
  1150/4704  151s
  1200/4704  169s
  1250/4704  178s
  1300/4704  186s
  1350/4704  193s
  1400/4704  222s
  1450/4704  260s
  1500/4704  310s
  1550/4704  320s
  1600/4704  338s
  1650/4704  348s
  1700/4704  376s
  1750/4704  418s
  1800/4704  428s
  1850/4704  450s
  1900/4704  460s
  1950/4704  468s
  2000/4704  476s
  2050/4704  496s
  2100/4704  537s
  2150/4704  600s
  2200/4704  644s
  2250/4704  702s
  2300/4704  794s
  2350/4704  892s
  2400/4704  900s
  2450/4704  913s
  2500/4704  923s
  2550/4704  953s
  2600/4704  964s
  2650/4704  983s
  2700/4704  1021s
  2750/4704  1064s
  2800/4704  1074s
  2850/4704  1093s
  2900/4704  1103s
  2950/4704  1133s
  3000/4704  1184s
  3050/4704  1243s
  3100/4704  1308s
  3150/4704  1389s
  3200/4704  1474s
  3250/4704  1485s
  3300/4704  1506s
  3350/4704  1515s
  3400/4704  1543s
  3450/4704  1590s
  3500/4704  1600s
  3550/4704  1619s
  3600/4704  1630s
  3650/4704  1637s
  3700/4704  1645s
  3750/4704  1669s
  3800/4704  1711s
  3850/4704  1766s
  3900/4704  1828s
  3950/4704  1878s
  4000/4704  1976s
  4050/4704  2070s
  4100/4704  2135s
  4150/4704  2185s
  4200/4704  2309s
  4250/4704  2389s
  4300/4704  2414s
  4350/4704  2431s
  4400/4704  2473s
  4450/4704  2489s
  4500/4704  2503s
  4550/4704  2521s
  4600/4704  2571s
  4650/4704  2631s
  4700/4704  2731s

b=7 shard 4/8: PASS  4704 matrices  2763.8s  (588 ms/matrix)  cupy(dev0)
backend cupy(dev0)  b=7: 4704 matrices  enum 2.5s
  50/4704  7s
  100/4704  9s
  150/4704  11s
  200/4704  13s
  250/4704  15s
  300/4704  17s
  350/4704  19s
  400/4704  21s
  450/4704  23s
  500/4704  25s
  550/4704  27s
  600/4704  29s
  650/4704  34s
  700/4704  43s
  750/4704  51s
  800/4704  60s
  850/4704  74s
  900/4704  86s
  950/4704  98s
  1000/4704  106s
  1050/4704  127s
  1100/4704  154s
  1150/4704  162s
  1200/4704  179s
  1250/4704  188s
  1300/4704  194s
  1350/4704  201s
  1400/4704  228s
  1450/4704  263s
  1500/4704  307s
  1550/4704  317s
  1600/4704  333s
  1650/4704  342s
  1700/4704  367s
  1750/4704  402s
  1800/4704  408s
  1850/4704  421s
  1900/4704  426s
  1950/4704  431s
  2000/4704  435s
  2050/4704  449s
  2100/4704  475s
  2150/4704  515s
  2200/4704  544s
  2250/4704  580s
  2300/4704  636s
  2350/4704  696s
  2400/4704  702s
  2450/4704  712s
  2500/4704  720s
  2550/4704  745s
  2600/4704  754s
  2650/4704  770s
  2700/4704  802s
  2750/4704  839s
  2800/4704  848s
  2850/4704  864s
  2900/4704  872s
  2950/4704  897s
  3000/4704  941s
  3050/4704  992s
  3100/4704  1047s
  3150/4704  1117s
  3200/4704  1188s
  3250/4704  1197s
  3300/4704  1215s
  3350/4704  1223s
  3400/4704  1247s
  3450/4704  1287s
  3500/4704  1296s
  3550/4704  1313s
  3600/4704  1322s
  3650/4704  1328s
  3700/4704  1335s
  3750/4704  1356s
  3800/4704  1391s
  3850/4704  1438s
  3900/4704  1491s
  3950/4704  1534s
  4000/4704  1616s
  4050/4704  1695s
  4100/4704  1751s
  4150/4704  1793s
  4200/4704  1898s
  4250/4704  1966s
  4300/4704  2001s
  4350/4704  2056s
  4400/4704  2186s
  4450/4704  2237s
  4500/4704  2281s
  4550/4704  2337s
  4600/4704  2495s
  4650/4704  2683s
  4700/4704  2997s

b=7 shard 5/8: PASS  4704 matrices  3100.8s  (659 ms/matrix)  cupy(dev0)
backend cupy(dev0)  b=7: 4704 matrices  enum 2.4s
  50/4704  3s
  100/4704  6s
  150/4704  9s
  200/4704  12s
  250/4704  15s
  300/4704  18s
  350/4704  21s
  400/4704  24s
  450/4704  27s
  500/4704  30s
  550/4704  33s
  600/4704  37s
Traceback (most recent call last):
  File "/home/joshua/be/src/be_ltu_gpu.py", line 126, in <module>
    w = check_tu_gpu(rows, ncol, xp)
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/joshua/be/src/be_ltu_gpu.py", line 93, in check_tu_gpu
    for k, ri, ci in minors_gpu(rows, ncol, xp):
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/joshua/be/src/be_ltu_gpu.py", line 74, in minors_gpu
    sub = A[rr_g[i_r][:, :, None], cc_g[i_c][:, None, :]]
          ~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "cupy/_core/core.pyx", line 1806, in cupy._core.core._ndarray_base.__getitem__
  File "cupy/_core/_routines_indexing.pyx", line 56, in cupy._core._routines_indexing._ndarray_getitem
  File "cupy/_core/_routines_indexing.pyx", line 1217, in cupy._core._routines_indexing._getitem_multiple
  File "cupy/_core/_routines_indexing.pyx", line 1199, in cupy._core._routines_indexing._prepare_multiple_array_indexing
  File "cupy/_core/core.pyx", line 176, in cupy._core.core.ndarray.__new__
  File "cupy/_core/core.pyx", line 282, in cupy._core.core._ndarray_base._init
  File "cupy/cuda/memory.pyx", line 904, in cupy.cuda.memory.alloc
  File "cupy/cuda/memory.pyx", line 1614, in cupy.cuda.memory.MemoryPool.malloc
  File "cupy/cuda/memory.pyx", line 1635, in cupy.cuda.memory.MemoryPool.malloc
  File "cupy/cuda/memory.pyx", line 1350, in cupy.cuda.memory.SingleDeviceMemoryPool.malloc
  File "cupy/cuda/memory.pyx", line 1376, in cupy.cuda.memory.SingleDeviceMemoryPool._malloc
  File "cupy/cuda/memory.pyx", line 1560, in cupy.cuda.memory.SingleDeviceMemoryPool._try_malloc
cupy.cuda.memory.OutOfMemoryError: Out of memory allocating 100,000,256 bytes (allocated so far: 127,556,608 bytes).
backend cupy(dev0)  b=7: 4704 matrices  enum 2.1s
  50/4704  7s
  100/4704  9s
  150/4704  11s
  200/4704  13s
  250/4704  15s
  300/4704  17s
  350/4704  19s
  400/4704  21s
  450/4704  24s
  500/4704  26s
  550/4704  28s
  600/4704  30s
  650/4704  34s
  700/4704  43s
  750/4704  51s
  800/4704  60s
  850/4704  73s
  900/4704  85s
  950/4704  97s
  1000/4704  105s
  1050/4704  125s
  1100/4704  152s
  1150/4704  160s
  1200/4704  177s
  1250/4704  186s
  1300/4704  193s
  1350/4704  199s
  1400/4704  225s
  1450/4704  259s
  1500/4704  295s
  1550/4704  304s
  1600/4704  322s
  1650/4704  331s
  1700/4704  353s
  1750/4704  397s
  1800/4704  403s
  1850/4704  414s
  1900/4704  421s
  1950/4704  425s
  2000/4704  429s
  2050/4704  441s
  2100/4704  466s
  2150/4704  506s
  2200/4704  535s
  2250/4704  571s
  2300/4704  621s
  2350/4704  706s
  2400/4704  712s
  2450/4704  723s
  2500/4704  731s
  2550/4704  756s
  2600/4704  765s
  2650/4704  781s
  2700/4704  813s
  2750/4704  841s
  2800/4704  849s
  2850/4704  867s
  2900/4704  875s
  2950/4704  899s
  3000/4704  949s
  3050/4704  991s
  3100/4704  1046s
  3150/4704  1115s
  3200/4704  1186s
  3250/4704  1195s
  3300/4704  1211s
  3350/4704  1219s
  3400/4704  1244s
  3450/4704  1279s
  3500/4704  1288s
  3550/4704  1305s
  3600/4704  1315s
  3650/4704  1321s
  3700/4704  1328s
  3750/4704  1347s
  3800/4704  1386s
  3850/4704  1440s
  3900/4704  1493s
  3950/4704  1535s
  4000/4704  1609s
  4050/4704  1703s
  4100/4704  1748s
  4150/4704  1798s
  4200/4704  1912s
  4250/4704  1980s
  4300/4704  2015s
  4350/4704  2071s
  4400/4704  2194s
  4450/4704  2245s
  4500/4704  2288s
  4550/4704  2337s
  4600/4704  2502s
  4650/4704  2722s
  4700/4704  3006s

b=7 shard 7/8: PASS  4704 matrices  3106.6s  (660 ms/matrix)  cupy(dev0)
backend cupy(dev0)  b=7: 4704 matrices  enum 1.9s
  50/4704  1s
  100/4704  1s
  150/4704  2s
  200/4704  2s
  250/4704  2s
  300/4704  3s
  350/4704  3s
  400/4704  4s
  450/4704  4s
  500/4704  5s
  550/4704  5s
  600/4704  6s
  650/4704  6s
  700/4704  8s
  750/4704  9s
  800/4704  10s
  850/4704  12s
  900/4704  14s
  950/4704  16s
  1000/4704  17s
  1050/4704  20s
  1100/4704  25s
  1150/4704  27s
  1200/4704  31s
  1250/4704  32s
  1300/4704  34s
  1350/4704  35s
  1400/4704  40s
  1450/4704  48s
  1500/4704  58s
  1550/4704  60s
  1600/4704  63s
  1650/4704  65s
  1700/4704  70s
  1750/4704  78s
  1800/4704  80s
  1850/4704  84s
  1900/4704  85s
  1950/4704  87s
  2000/4704  88s
  2050/4704  92s
  2100/4704  100s
  2150/4704  113s
  2200/4704  124s
  2250/4704  134s
  2300/4704  150s
  2350/4704  170s
  2400/4704  171s
  2450/4704  173s
  2500/4704  175s
  2550/4704  181s
  2600/4704  182s
  2650/4704  186s
  2700/4704  194s
  2750/4704  203s
  2800/4704  205s
  2850/4704  208s
  2900/4704  210s
  2950/4704  215s
  3000/4704  225s
  3050/4704  236s
  3100/4704  249s
  3150/4704  265s
  3200/4704  284s
  3250/4704  286s
  3300/4704  290s
  3350/4704  291s
  3400/4704  296s
  3450/4704  306s
  3500/4704  307s
  3550/4704  311s
  3600/4704  313s
  3650/4704  314s
  3700/4704  315s
  3750/4704  320s
  3800/4704  327s
  3850/4704  341s
  3900/4704  350s
  3950/4704  362s
  4000/4704  381s
  4050/4704  413s
  4100/4704  426s
  4150/4704  435s
  4200/4704  460s
  4250/4704  486s
  4300/4704  493s
  4350/4704  503s
  4400/4704  546s
  4450/4704  556s
  4500/4704  568s
  4550/4704  581s
  4600/4704  631s
  4650/4704  676s
  4700/4704  790s

b=7 shard 3/8: PASS  4704 matrices  818.3s  (174 ms/matrix)  cupy(dev0)
backend cupy(dev0)  b=7: 4704 matrices  enum 1.9s
  50/4704  1s
  100/4704  1s
  150/4704  2s
  200/4704  2s
  250/4704  2s
  300/4704  3s
  350/4704  3s
  400/4704  4s
  450/4704  4s
  500/4704  5s
  550/4704  5s
  600/4704  5s
  650/4704  6s
  700/4704  8s
  750/4704  9s
  800/4704  10s
  850/4704  12s
  900/4704  14s
  950/4704  16s
  1000/4704  17s
  1050/4704  20s
  1100/4704  25s
  1150/4704  27s
  1200/4704  30s
  1250/4704  32s
  1300/4704  33s
  1350/4704  34s
  1400/4704  40s
  1450/4704  47s
  1500/4704  54s
  1550/4704  56s
  1600/4704  60s
  1650/4704  62s
  1700/4704  66s
  1750/4704  76s
  1800/4704  78s
  1850/4704  81s
  1900/4704  83s
  1950/4704  85s
  2000/4704  86s
  2050/4704  90s
  2100/4704  97s
  2150/4704  111s
  2200/4704  120s
  2250/4704  131s
  2300/4704  148s
  2350/4704  178s
  2400/4704  180s
  2450/4704  182s
  2500/4704  183s
  2550/4704  189s
  2600/4704  191s
  2650/4704  194s
  2700/4704  202s
  2750/4704  208s
  2800/4704  210s
  2850/4704  213s
  2900/4704  215s
  2950/4704  220s
  3000/4704  232s
  3050/4704  241s
  3100/4704  254s
  3150/4704  270s
  3200/4704  287s
  3250/4704  289s
  3300/4704  293s
  3350/4704  294s
  3400/4704  300s
  3450/4704  308s
  3500/4704  309s
  3550/4704  313s
  3600/4704  315s
  3650/4704  316s
  3700/4704  318s
  3750/4704  322s
  3800/4704  330s
  3850/4704  343s
  3900/4704  355s
  3950/4704  364s
  4000/4704  382s
  4050/4704  404s
  4100/4704  414s
  4150/4704  426s
  4200/4704  453s
  4250/4704  469s
  4300/4704  477s
  4350/4704  490s
  4400/4704  519s
  4450/4704  531s
  4500/4704  541s
  4550/4704  552s
  4600/4704  592s
  4650/4704  647s
  4700/4704  718s

b=7 shard 6/8: PASS  4704 matrices  745.7s  (159 ms/matrix)  cupy(dev0)
