backend gmpy2  C_9: 60739 term orbits, 60739 with nonzero weight, free dim 8, jobs 50
  resuming from c9_orbit_values.json.ck0: 31250 term orbits already done
  31300/60739 term orbits, 395s
  31350/60739 term orbits, 648s
  31400/60739 term orbits, 875s
  31450/60739 term orbits, 1054s
  31500/60739 term orbits, 1256s
  31550/60739 term orbits, 1415s
  31600/60739 term orbits, 1648s
  31650/60739 term orbits, 1896s
  31700/60739 term orbits, 2110s
  31750/60739 term orbits, 2328s
  31800/60739 term orbits, 2583s
  31850/60739 term orbits, 2816s
  31900/60739 term orbits, 3028s
  31950/60739 term orbits, 3192s
  32000/60739 term orbits, 3401s
  32050/60739 term orbits, 3638s
  32100/60739 term orbits, 3839s
  32150/60739 term orbits, 4107s
  32200/60739 term orbits, 4343s
  32250/60739 term orbits, 4598s
  32300/60739 term orbits, 4796s
  32350/60739 term orbits, 5011s
  32400/60739 term orbits, 5203s
  32450/60739 term orbits, 5481s
  32500/60739 term orbits, 5711s
  32550/60739 term orbits, 5965s
  32600/60739 term orbits, 6143s
  32650/60739 term orbits, 6337s
  32700/60739 term orbits, 6547s
  32750/60739 term orbits, 6766s
  32800/60739 term orbits, 6968s
  32850/60739 term orbits, 7203s
  32900/60739 term orbits, 7411s
  32950/60739 term orbits, 7627s
  33000/60739 term orbits, 7868s
  33050/60739 term orbits, 8129s
  33100/60739 term orbits, 8343s
  33150/60739 term orbits, 8553s
  33200/60739 term orbits, 8880s
  33250/60739 term orbits, 9187s
  33300/60739 term orbits, 9475s
  33350/60739 term orbits, 9745s
  33400/60739 term orbits, 9968s
  33450/60739 term orbits, 10281s
  33500/60739 term orbits, 10592s
  33550/60739 term orbits, 10837s
  33600/60739 term orbits, 11085s
  33650/60739 term orbits, 11413s
  33700/60739 term orbits, 11671s
  33750/60739 term orbits, 11860s
  33800/60739 term orbits, 12068s
  33850/60739 term orbits, 12295s
  33900/60739 term orbits, 12548s
  33950/60739 term orbits, 12773s
  34000/60739 term orbits, 12982s
  34050/60739 term orbits, 13222s
  34100/60739 term orbits, 13499s
  34150/60739 term orbits, 13718s
  34200/60739 term orbits, 13942s
  34250/60739 term orbits, 14171s
  34300/60739 term orbits, 14433s
  34350/60739 term orbits, 14677s
  34400/60739 term orbits, 14908s
  34450/60739 term orbits, 15161s
  34500/60739 term orbits, 15451s
  34550/60739 term orbits, 15721s
  34600/60739 term orbits, 16027s
  34650/60739 term orbits, 16310s
  34700/60739 term orbits, 16580s
  34750/60739 term orbits, 16852s
  34800/60739 term orbits, 17181s
  34850/60739 term orbits, 17428s
  34900/60739 term orbits, 17737s
  34950/60739 term orbits, 18016s
  35000/60739 term orbits, 18252s
  35050/60739 term orbits, 18490s
  35100/60739 term orbits, 18787s
  35150/60739 term orbits, 19024s
  35200/60739 term orbits, 19275s
  35250/60739 term orbits, 19586s
  35300/60739 term orbits, 19873s
  35350/60739 term orbits, 20174s
  35400/60739 term orbits, 20488s
  35450/60739 term orbits, 20819s
  35500/60739 term orbits, 21114s
  35550/60739 term orbits, 21449s
  35600/60739 term orbits, 21802s
  35650/60739 term orbits, 22103s
  35700/60739 term orbits, 22496s
  shard 0/3 complete: 35747 term orbits in c9_orbit_values.json.ck0
